Wavelength_nm,PL_Intensity
700.0,10.0
700.3006012024048,10.0
700.6012024048097,10.0
700.9018036072144,10.0
701.2024048096192,10.0
701.503006012024,10.0
701.8036072144289,10.0
702.1042084168337,10.0
702.4048096192384,10.0
702.7054108216433,10.0
703.0060120240481,10.0
703.3066132264529,10.0
703.6072144288577,10.0
703.9078156312626,10.0
704.2084168336673,10.0
704.5090180360721,10.0
704.8096192384769,10.0
705.1102204408818,10.0
705.4108216432866,10.0
705.7114228456913,10.0
706.0120240480962,10.0
706.312625250501,10.0
706.6132264529058,10.0
706.9138276553106,10.0
707.2144288577155,10.0
707.5150300601202,10.0
707.815631262525,10.0
708.1162324649299,10.0
708.4168336673347,10.0
708.7174348697395,10.0
709.0180360721442,10.0
709.3186372745491,10.0
709.6192384769539,10.0
709.9198396793587,10.0
710.2204408817636,10.0
710.5210420841684,10.0
710.8216432865731,10.0
711.1222444889779,10.0
711.4228456913828,10.0
711.7234468937876,10.0
712.0240480961924,10.0
712.3246492985973,10.0
712.625250501002,10.0
712.9258517034068,10.0
713.2264529058116,10.0
713.5270541082165,10.0
713.8276553106213,10.0
714.128256513026,10.0
714.4288577154308,10.0
714.7294589178357,10.0
715.0300601202405,10.0
715.3306613226453,10.0
715.6312625250501,10.0
715.9318637274549,10.0
716.2324649298597,10.0
716.5330661322645,10.0
716.8336673346694,10.000000000000002
717.1342685370741,10.000000000000002
717.4348697394789,10.000000000000002
717.7354709418838,10.000000000000004
718.0360721442886,10.000000000000005
718.3366733466934,10.000000000000007
718.6372745490982,10.000000000000009
718.937875751503,10.000000000000012
719.2384769539078,10.000000000000018
719.5390781563126,10.000000000000027
719.8396793587175,10.000000000000036
720.1402805611223,10.00000000000005
720.440881763527,10.00000000000007
720.7414829659318,10.000000000000096
721.0420841683367,10.000000000000133
721.3426853707415,10.000000000000183
721.6432865731463,10.000000000000252
721.943887775551,10.000000000000346
722.2444889779559,10.000000000000476
722.5450901803607,10.000000000000652
722.8456913827655,10.000000000000892
723.1462925851704,10.000000000001219
723.4468937875752,10.000000000001661
723.7474949899799,10.000000000002261
724.0480961923847,10.000000000003073
724.3486973947896,10.000000000004169
724.6492985971944,10.000000000005647
724.9498997995992,10.000000000007637
725.2505010020041,10.00000000001031
725.5511022044088,10.000000000013895
725.8517034068136,10.000000000018698
726.1523046092184,10.00000000002512
726.4529058116233,10.00000000003369
726.7535070140281,10.000000000045112
727.0541082164328,10.000000000060309
727.3547094188377,10.000000000080494
727.6553106212425,10.00000000010726
727.9559118236473,10.000000000142697
728.2565130260521,10.000000000189532
728.557114228457,10.000000000251335
728.8577154308617,10.000000000332756
729.1583166332665,10.000000000439849
729.4589178356714,10.00000000058048
729.7595190380762,10.000000000764851
730.060120240481,10.00000000100618
730.3607214428857,10.000000001321554
730.6613226452906,10.000000001733028
730.9619238476954,10.000000002269028
731.2625250501002,10.00000000296612
731.563126252505,10.000000003871277
731.8637274549098,10.000000005044729
732.1643286573146,10.000000006563585
732.4649298597194,10.0000000085264
732.7655310621243,10.000000011058926
733.0661322645291,10.00000001432137
733.3667334669339,10.000000018517486
733.6673346693386,10.000000023905999
733.9679358717435,10.000000030814897
734.2685370741483,10.0000000396593
734.5691382765531,10.00000005096375
734.869739478958,10.000000065389989
735.1703406813627,10.000000083771486
735.4709418837675,10.000000107156314
735.7715430861723,10.000000136860285
736.0721442885772,10.000000174532671
736.372745490982,10.000000222237412
736.6733466933867,10.000000282553216
736.9739478957916,10.000000358696791
737.2745490981964,10.000000454674268
737.5751503006012,10.000000575466983
737.875751503006,10.000000727258966
738.1763527054109,10.000000917715122
738.4769539078156,10.000001156320717
738.7775551102204,10.000001454795079
739.0781563126252,10.000001827594813
739.3787575150301,10.0000022925249
739.6793587174349,10.000002871479564
739.9799599198396,10.0000035913389
740.2805611222445,10.000004485052235
740.5811623246493,10.000005592944873
740.8817635270541,10.0000069642916
741.1823647294589,10.000008659208259
741.4829659318638,10.000010750921794
741.7835671342685,10.000013328489922
742.0841683366733,10.000016500053965
742.3847695390782,10.00002039672277
742.685370741483,10.000025177202348
742.9859719438878,10.00003103330502
743.2865731462925,10.000038196494083
743.5871743486974,10.00004694564543
743.8877755511022,10.000057616236818
744.188376753507,10.000070611208894
744.4889779559119,10.000086413780279
744.7895791583167,10.000105602542567
745.0901803607214,10.000128869210569
745.3907815631262,10.00015703945923
745.6913827655311,10.000191097342237
745.9919839679359,10.000232213858979
746.2925851703407,10.000281780317419
746.5931863727455,10.000341447231065
746.8937875751503,10.000413169590127
747.1943887775551,10.000499259460591
747.4949899799599,10.000602446991893
747.7955911823648,10.000725951054942
748.0961923847696,10.000873560888875
748.3967935871743,10.001049730308093
748.6973947895792,10.001259686212322
748.997995991984,10.001509553352728
749.2985971943888,10.001806497537812
749.5991983967936,10.002158889715188
749.8997995991984,10.002576493640523
750.2004008016032,10.003070680143987
750.501002004008,10.00365467132864
750.8016032064128,10.004343818385028
751.1022044088177,10.005155917082657
751.4028056112224,10.00611156540247
751.7034068136272,10.007234568205247
752.0040080160321,10.008552394288788
752.3046092184369,10.010096691671794
752.6052104208417,10.011903867453283
752.9058116232464,10.014015739132343
753.2064128256513,10.01648026483202
753.5070140280561,10.019352360450895
753.8076152304609,10.022694812363445
754.1082164328658,10.026579294901897
754.4088176352706,10.03108750247344
754.7094188376753,10.036312406792147
755.0100200400801,10.042359650328361
755.310621242485,10.04934908769268
755.6112224448898,10.057416487268565
755.9118236472946,10.06671540597788
756.2124248496993,10.077419250596911
756.5130260521042,10.089723539525158
756.813627254509,10.103848379332602
757.1142284569138,10.120041170759809
757.4148296593187,10.138579559103533
757.7154308617235,10.159774644073147
758.0160320641282,10.183974464232659
758.316633266533,10.211567771031097
758.6172344689379,10.242988107152483
758.9178356713427,10.278718203464328
759.2184368737475,10.319294708192686
759.5190380761524,10.365313261078214
